Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision,Referee,Descripcion
Racing,Estudiantes,2024-02-20,Monumental,Falta,78',Sí,Amarilla,Merlos,falta entre Racing y Estudiantes al minuto 78'
Argentinos,Talleres,2024-12-18,Nuevo Gasómetro,Sujeción,13',Sí,Tiro libre,Tello,sujeción entre Argentinos y Talleres al minuto 13'
Racing,Boca Juniors,2024-07-21,Cilindro,Offside,73',Sí,Amarilla,Baliño,offside entre Racing y Boca Juniors al minuto 73'
Vélez,Banfield,2024-09-28,La Bombonera,Mano,27',Sí,Tiro libre,Tello,mano entre Vélez y Banfield al minuto 27'
Gimnasia,Huracán,2024-08-09,La Bombonera,Entrada violenta,39',Sí,Amarilla,Pitana,entrada violenta entre Gimnasia y Huracán al minuto 39'
San Lorenzo,Newell's,2024-12-09,Nuevo Gasómetro,Codazo,70',Sí,No gol,Abal,codazo entre San Lorenzo y Newell's al minuto 70'
San Lorenzo,Racing,2024-05-07,Nuevo Gasómetro,Córner,18',Sí,Penal,Abal,córner entre San Lorenzo y Racing al minuto 18'
Estudiantes,Platense,2024-11-16,La Bombonera,Penal,2',Sí,Amarilla,Baliño,penal entre Estudiantes y Platense al minuto 2'
River Plate,Arsenal,2024-05-25,Nuevo Gasómetro,Gol,83',Sí,Roja,Pitana,gol entre River Plate y Arsenal al minuto 83'
River Plate,Racing,2024-08-14,Cilindro,Penal,9',Sí,Roja,Echenique,penal entre River Plate y Racing al minuto 9'
Lanús,Rosario Central,2024-10-16,La Bombonera,Mano,22',Sí,Penal,Espinoza,mano entre Lanús y Rosario Central al minuto 22'
Lanús,Godoy Cruz,2024-07-26,Monumental,Simulación,82',Sí,Tiro libre,Abal,simulación entre Lanús y Godoy Cruz al minuto 82'
Racing,Colón,2024-05-26,La Bombonera,Simulación,44',Sí,Tiro libre,Tello,simulación entre Racing y Colón al minuto 44'
River Plate,Sarmiento,2024-09-18,Cilindro,Simulación,27',Sí,Gol,Espinoza,simulación entre River Plate y Sarmiento al minuto 27'
Sarmiento,Estudiantes,2024-06-01,Monumental,Córner,77',Sí,Sin falta,Merlos,córner entre Sarmiento y Estudiantes al minuto 77'
Colón,Estudiantes,2024-04-02,Nuevo Gasómetro,Mano,25',Sí,Gol,Pitana,mano entre Colón y Estudiantes al minuto 25'
Colón,Banfield,2024-01-09,Nuevo Gasómetro,Sujeción,38',Sí,No gol,Echenique,sujeción entre Colón y Banfield al minuto 38'
Argentinos,Lanús,2024-08-07,Monumental,Penal,35',Sí,Gol,Abal,penal entre Argentinos y Lanús al minuto 35'
Banfield,San Lorenzo,2024-11-01,Cilindro,Penal,72',Sí,No gol,Dovalo,penal entre Banfield y San Lorenzo al minuto 72'
Colón,Godoy Cruz,2024-12-06,Nuevo Gasómetro,Córner,37',Sí,Amarilla,Baliño,córner entre Colón y Godoy Cruz al minuto 37'
Newell's,Independiente,2024-08-18,La Bombonera,Codazo,49',Sí,Roja,Echenique,codazo entre Newell's y Independiente al minuto 49'
